, open , high , low , close , volume , range , 목표가  ,매수여부, 수익률 ,
2021-02-05 9:00," 39,809,000 "," 40,770,000 "," 39,492,000 "," 40,424,000 "," 7,783 "," 1,278,000 "," 41,492,500 ",0,1,
2021-02-06 9:00," 40,421,000 "," 43,622,000 "," 40,345,000 "," 41,725,000 "," 12,813 "," 3,277,000 "," 41,060,000 ",1,1.016195811,
2021-02-07 9:00," 41,725,000 "," 42,630,000 "," 40,501,000 "," 41,921,000 "," 8,433 "," 2,129,000 "," 43,363,500 ",0,1,
2021-02-08 9:00," 41,921,000 "," 49,583,000 "," 41,562,000 "," 49,070,000 "," 25,472 "," 8,021,000 "," 42,985,500 ",1,1.141547731,
2021-02-09 9:00," 49,070,000 "," 51,200,000 "," 48,350,000 "," 48,779,000 "," 18,284 "," 2,850,000 "," 53,080,500 ",0,1,
2021-02-10 9:00," 48,788,000 "," 49,781,000 "," 47,350,000 "," 48,550,000 "," 11,589 "," 2,431,000 "," 50,213,000 ",0,1,
2021-02-11 9:00," 48,550,000 "," 51,800,000 "," 48,074,000 "," 51,370,000 "," 12,306 "," 3,726,000 "," 49,765,500 ",1,1.032241211,
2021-02-12 9:00," 51,370,000 "," 52,280,000 "," 50,237,000 "," 50,836,000 "," 8,912 "," 2,043,000 "," 53,233,000 ",0,1,
2021-02-13 9:00," 50,836,000 "," 51,757,000 "," 50,258,000 "," 50,626,000 "," 7,055 "," 1,499,000 "," 51,857,500 ",0,1,
2021-02-14 9:00," 50,625,000 "," 53,380,000 "," 50,403,000 "," 52,706,000 "," 11,364 "," 2,977,000 "," 51,374,500 ",1,1.025917527,
2021-02-15 9:00," 52,711,000 "," 53,086,000 "," 50,313,000 "," 52,532,000 "," 8,789 "," 2,773,000 "," 54,199,500 ",0,1,
2021-02-16 9:00," 52,518,000 "," 55,500,000 "," 51,773,000 "," 54,760,000 "," 11,826 "," 3,727,000 "," 53,904,500 ",1,1.01587066,
2021-02-17 9:00," 54,760,000 "," 58,120,000 "," 54,431,000 "," 57,484,000 "," 11,559 "," 3,689,000 "," 56,623,500 ",1,1.015196871,
2021-02-18 9:00," 57,458,000 "," 58,426,000 "," 56,405,000 "," 57,852,000 "," 9,072 "," 2,021,000 "," 59,302,500 ",0,1,
2021-02-19 9:00," 57,852,000 "," 63,680,000 "," 57,038,000 "," 63,649,000 "," 12,496 "," 6,642,000 "," 58,862,500 ",1,1.081316628,
2021-02-20 9:00," 63,649,000 "," 65,985,000 "," 62,399,000 "," 64,251,000 "," 16,375 "," 3,586,000 "," 66,970,000 ",0,1,
2021-02-21 9:00," 64,260,000 "," 65,846,000 "," 63,381,000 "," 65,417,000 "," 9,000 "," 2,465,000 "," 66,053,000 ",0,1,
2021-02-22 9:00," 65,416,000 "," 65,488,000 "," 56,562,000 "," 61,744,000 "," 28,419 "," 8,926,000 "," 66,648,500 ",0,1,
2021-02-23 9:00," 61,688,000 "," 61,760,000 "," 50,900,000 "," 55,105,000 "," 36,043 "," 10,860,000 "," 66,151,000 ",0,1,
2021-02-24 9:00," 55,106,000 "," 58,150,000 "," 52,875,000 "," 56,500,000 "," 19,006 "," 5,275,000 "," 60,536,000 ",0,1,
2021-02-25 9:00," 56,501,000 "," 58,890,000 "," 53,800,000 "," 54,168,000 "," 15,921 "," 5,090,000 "," 59,138,500 ",0,1,
2021-02-26 9:00," 54,128,000 "," 55,226,000 "," 51,809,000 "," 53,804,000 "," 13,302 "," 3,417,000 "," 56,673,000 ",0,1,
2021-02-27 9:00," 53,835,000 "," 55,579,000 "," 52,780,000 "," 53,494,000 "," 7,403 "," 2,799,000 "," 55,543,500 ",1,0.963100993,
2021-02-28 9:00," 53,494,000 "," 54,098,000 "," 51,300,000 "," 51,991,000 "," 4,731 "," 2,798,000 "," 54,893,500 ",0,1,
,,,,,,,,,2.018977139,
